step,reward,pue,peak_outlet,violations
1,0.14473969048983779,1.1417426190203244,18.812444503931594,0
2,0.1420050113012045,1.143033977397591,19.572213780714158,0
3,0.13872326301623739,1.1445714739675252,19.127654997536553,0
4,0.13606977912797827,1.1459084417440435,19.842318145973167,0
5,0.1357224175825432,1.1460331648349136,19.228016511198653,0
6,0.1372941655276299,1.1453416689447402,19.21685816433477,0
7,0.14182212056393595,1.143127758872128,18.888907934268875,0
8,0.13910976897482072,1.1443504620503586,18.45846401120594,0
9,0.13702523100763128,1.1452675379847375,19.387279261260677,0
10,0.14217293472016365,1.1428661305596728,18.518459109780494,0
11,0.14127082608254862,1.1432463478349029,19.033244294418154,0
12,0.14004081228359502,1.14369637543281,19.00044214033291,0
13,0.14240243569891814,1.1426431286021637,18.675522682668912,0
14,0.13996269818717685,1.1437686036256463,19.517869444548143,0
15,0.14555236414828232,1.1412372717034354,19.23246229881847,0
16,0.14036556690370497,1.14368686619259,18.88112505361874,0
17,0.14124304808310198,1.1432079038337961,18.83715969818053,0
18,0.13610925313576114,1.1455254937284778,18.096187229771957,0
19,0.1367242232157547,1.1452375535684907,18.6702483239399,0
20,0.1418797829391664,1.1428124341216672,19.368152215900032,0
21,0.14180049816661316,1.1428910036667737,18.64632407761693,0
22,0.14075315131347907,1.1432836973730418,18.59370663450374,0
23,0.138854941775112,1.144242116449776,18.822070045297664,0
24,0.14339627069590727,1.1421934586081854,19.114174839069285,0
25,0.13714478761828175,1.1451084247634364,19.129657912629327,0
26,0.1340777210461774,1.1464145579076452,18.681115600229,0
27,0.14196558244143787,1.1427268351171243,19.27254237156326,0
28,0.13910981480988732,1.1440263703802254,18.372713495753533,0
29,0.14266692926398666,1.1422681414720266,18.86045846746393,0
30,0.14140234763323936,1.1427253047335213,19.51927126537228,0
31,0.14343893726615642,1.1418341254676871,19.86635100441972,0
32,0.1394586435277159,1.1437207129445683,18.855473580417396,0
33,0.1393877386127999,1.1437265227744002,18.45545609387247,0
34,0.13671839965352456,1.1449632006929509,19.35320669406591,0
35,0.13807907485481288,1.1443118502903742,18.31723998124542,0
36,0.13817555042854332,1.1442248991429134,18.69195573132474,0
37,0.14013406180602644,1.1432758763879471,19.079990023127742,0
38,0.14110358511742174,1.1428528297651566,19.98336876678669,0
39,0.1432979670381303,1.1419660659237394,19.098270525940574,0
40,0.13452521206108764,1.1460355758778247,18.441771697775803,0
41,0.13824915274229277,1.1443156945154145,19.502526011473535,0
42,0.14331805663573505,1.14186788672853,19.701506111504248,0
43,0.13958928245404717,1.1435434350919056,19.120429820192598,0
44,0.14113780405259485,1.1428583918948103,18.483057740008796,0
45,0.13879972240373042,1.143928555192539,18.588800297113202,0
46,0.14156920774336884,1.1426335845132622,19.004384720774244,0
47,0.14044286660885613,1.1433062667822878,19.818377673648975,0
48,0.14063539690766083,1.1431692061846783,19.287456007610686,0
49,0.13919369383382654,1.143728612332347,19.72567132819966,0
50,0.1385354004971659,1.1440631990056682,19.112413328449254,0
51,0.14612155627471574,1.1405888874505685,18.70594565488424,0
52,0.139130800047074,1.143816399905852,18.906031039855343,0
53,0.14119044058260583,1.1427671188347883,18.97098483515755,0
54,0.13892878796822183,1.1437664240635563,19.021100110044515,0
