timestamp,minute,it_load_kw,ups_efficiency,ups_loss_kw,cooling_infra_kw,total_facility_kw,pue
2025-06-15 00:00:00+00:00,0,2156.1099999999997,0.8961225483395,249.9336867649804,56.0,2462.04368676498,1.1418915021798426
2025-06-15 00:01:00+00:00,1,2135.2200000000003,0.895317377758,249.6549650619868,56.0,2440.874965061987,1.1431491673279506
2025-06-15 00:02:00+00:00,2,2110.09,0.8943430009594999,249.28442092819023,56.0,2415.3744209281904,1.1446783885655067
2025-06-15 00:03:00+00:00,3,2090.2400000000002,0.8935688837119999,248.96410401588128,56.0,2395.2041040158815,1.1458990852801023
2025-06-15 00:04:00+00:00,4,2087.39,0.8934574149395,248.91609035949023,56.0,2392.30609035949,1.1460752855764809
2025-06-15 00:05:00+00:00,5,2099.65,0.8939363493875,249.1190163160063,56.0,2404.7690163160064,1.145318989505873
2025-06-15 00:06:00+00:00,6,2133.8599999999997,0.895264807502,249.63590212751978,56.0,2439.4959021275195,1.1432314688534018
2025-06-15 00:07:00+00:00,7,2112.8500000000004,0.8944503243875,249.32701798792823,56.0,2418.1770179879286,1.1445095572274075
2025-06-15 00:08:00+00:00,8,2096.59,0.8938169518595,249.06924895276006,56.0,2401.65924895276,1.1455073471459656
2025-06-15 00:09:00+00:00,9,2136.0600000000004,0.895349838382,249.66668294675264,56.0,2441.726682946753,1.1430983600398643
2025-06-15 00:10:00+00:00,10,2128.9400000000005,0.895074472382,249.5659966400326,56.0,2434.505996640033,1.14352964228209
2025-06-15 00:11:00+00:00,11,2118.8900000000003,0.8946849258395,249.4185953547335,56.0,2424.308595354734,1.1441408451381305
2025-06-15 00:12:00+00:00,12,2137.24,0.8953954259119999,249.68307124880175,56.0,2442.9230712488015,1.1430270214149099
2025-06-15 00:13:00+00:00,13,2118.47,0.8946686242955,249.4123001848011,56.0,2423.882300184801,1.1441664504027913
2025-06-15 00:14:00+00:00,14,2161.71,0.8963376493795,250.00393558718451,56.0,2467.7139355871846,1.1415564231960738
2025-06-15 00:15:00+00:00,15,2122.09,0.8948090701595,249.4662020641308,56.0,2427.556202064131,1.1439459222107125
2025-06-15 00:16:00+00:00,16,2128.4700000000003,0.8950562772955,249.55924128009065,56.0,2434.029241280091,1.1435581620976996
2025-06-15 00:17:00+00:00,17,2088.7200000000003,0.893509443808,248.9385602701591,56.0,2393.6585602701593,1.1459930293529812
2025-06-15 00:18:00+00:00,18,2093.4300000000003,0.8936935541755,249.01724068906105,56.0,2398.4472406890613,1.1457021446568842
2025-06-15 00:19:00+00:00,19,2132.86,0.8952261411019999,249.62181333769513,56.0,2438.4818133376953,1.1432920179185202
2025-06-15 00:20:00+00:00,20,2132.46,0.895210671742,249.61616074373114,56.0,2438.076160743731,1.1433162454365995
2025-06-15 00:21:00+00:00,21,2123.95,0.8948811819875,249.49358418933434,56.0,2429.443584189334,1.1438327569807831
2025-06-15 00:22:00+00:00,22,2109.76,0.894330163712,249.27929622953343,56.0,2415.0392962295336,1.1446985895218098
2025-06-15 00:23:00+00:00,23,2144.93,0.8956921764754999,249.78780186825225,56.0,2450.717801868252,1.142563068197215
2025-06-15 00:24:00+00:00,24,2096.99,0.8938325646995,249.07578772948682,56.0,2402.0657877294866,1.1454827098505413
2025-06-15 00:25:00+00:00,25,2072.8500000000004,0.8928874643875,248.66316114839492,56.0,2377.5131611483953,1.1469779101953324
2025-06-15 00:26:00+00:00,26,2133.29,0.8952427688794999,249.62787899058912,56.0,2438.917878990589,1.1432659783670243
2025-06-15 00:27:00+00:00,27,2111.23,0.8943873394355,249.30207252745822,56.0,2416.5320725274582,1.1446086274481977
2025-06-15 00:28:00+00:00,28,2138.0099999999998,0.8954251661995,249.69371964691163,56.0,2443.7037196469114,1.1429804910392896
2025-06-15 00:29:00+00:00,29,2127.65,0.8950245273874999,249.54742296943368,56.0,2433.197422969434,1.1436079350313415
2025-06-15 00:30:00+00:00,30,2143.56,0.895639352632,249.76940619542574,56.0,2449.3294061954257,1.1426456018004747
2025-06-15 00:31:00+00:00,31,2113.1900000000005,0.8944635401195,249.33223284325095,56.0,2418.5222328432515,1.1444887742433245
2025-06-15 00:32:00+00:00,32,2112.51,0.8944371074995,249.32179598368884,56.0,2417.831795983689,1.1445303435172798
2025-06-15 00:33:00+00:00,33,2092.0,0.89363768,248.99349973694052,56.0,2396.9934997369405,1.1457903918436618
2025-06-15 00:34:00+00:00,34,2102.35,0.8940416223875,249.1624434428054,56.0,2407.5124434428053,1.1451530161213905
2025-06-15 00:35:00+00:00,35,2102.88,0.894062278528,249.17091468820126,56.0,2408.0509146882014,1.1451204608385648
2025-06-15 00:36:00+00:00,36,2117.7200000000003,0.894639510008,249.40103177855735,56.0,2423.1210317785576,1.1442121865867807
2025-06-15 00:37:00+00:00,37,2125.3,0.89493349955,249.51332531262506,56.0,2430.8133253126252,1.1437506824037196
2025-06-15 00:38:00+00:00,38,2142.81,0.8956104265195,249.75928743821987,56.0,2448.56928743822,1.142690806668916
2025-06-15 00:39:00+00:00,39,2075.43,0.8929887515755,248.70901780769236,56.0,2380.139017807692,1.1468172946366257
2025-06-15 00:40:00+00:00,40,2104.07,0.8941086471755,249.18987132188295,56.0,2409.259871321883,1.145047394488721
2025-06-15 00:41:00+00:00,41,2142.52,0.895599240248,249.75536571683097,56.0,2448.275365716831,1.1427082901054977
2025-06-15 00:42:00+00:00,42,2113.6099999999997,0.8944798638395,249.33866485586213,56.0,2418.948664855862,1.144463105708178
2025-06-15 00:43:00+00:00,43,2125.67,0.8949478352555,249.51871632684515,56.0,2431.188716326845,1.1437281969105482
2025-06-15 00:44:00+00:00,44,2107.64,0.894247668152,249.24621291630046,56.0,2412.8862129163003,1.1448284398266784
